,team
0,7M
1,6M
2,2M
3,7M
4,7M
5,54M
6,1M
7,4M
8,7M
9,37M
10,54M
11,54M
12,9M
13,2M
14,34M
15,14M
16,1M
17,11M
18,7M
19,7M
20,6M
21,7M
22,7M
23,1M
24,11M
25,48M
26,10M
27,11M
28,10M
29,54M
30,10M
31,11M
32,11M
33,6M
34,7M
35,7M
36,7M
37,9M
38,7M
39,7M
40,2M
41,9M
42,1M
43,4M
44,2M
45,7M
46,6M
47,11M
48,34M
49,1M
50,34M
51,17M
52,34M
