,team
0,9F
1,7F
2,54F
3,54F
4,54F
5,37F
6,11F
7,44F
8,34F
9,7F
10,7F
11,7F
12,7F
13,4F
14,10F
15,11F
16,7F
17,57F
18,44F
19,4F
20,9F
21,7F
22,57F
23,44F
24,11F
25,1F
26,7F
27,10F
28,48F
29,11F
30,11F
31,11F
32,48F
33,34F
34,7F
35,2F
36,37F
37,7F
38,7F
39,11F
40,11F
41,10F
42,10F
43,17F
44,17F
45,10F
