,times
0,0:11:43
1,0:11:48
2,0:11:57
3,0:12:04
4,0:12:08
5,0:12:12
6,0:12:14
7,0:12:15
8,0:12:24
9,0:12:38
10,0:12:47
11,0:13:06
12,0:13:10
13,0:13:14
14,0:13:16
15,0:13:22
16,0:13:24
17,0:13:24
18,0:13:31
19,0:13:31
20,0:13:40
21,0:13:43
22,0:13:45
23,0:13:53
24,0:14:07
25,0:14:09
26,0:14:10
27,0:14:11
28,0:14:12
29,0:14:17
30,0:14:17
31,0:14:37
32,0:14:45
33,0:14:53
34,0:14:55
35,0:15:03
36,0:15:08
37,0:15:16
38,0:15:22
39,0:15:49
40,0:15:49
41,0:15:56
42,0:15:58
43,0:16:07
44,0:16:11
45,0:16:13
46,0:16:20
47,0:16:29
48,0:16:31
49,0:16:32
50,0:16:55
51,0:16:56
52,0:17:17
53,0:17:18
54,0:17:24
55,0:17:33
56,0:17:36
57,0:18:33
58,0:18:39
