,team
0,48F
1,7F
2,10F
3,6F
4,14F
5,34F
6,48F
7,37F
8,54F
9,2F
10,4F
11,7F
12,11F
13,7F
14,10F
15,7F
16,44F
17,11F
18,54F
19,2F
20,1F
21,4F
22,1F
23,10F
24,4F
25,37F
26,7F
27,7F
28,7F
29,1F
30,2F
31,37F
32,34F
33,9F
34,7F
35,48F
36,10F
37,7F
38,7F
39,34F
40,14F
41,11F
42,7F
43,7F
44,7F
45,11F
46,7F
47,10F
48,1F
49,48F
